description,effective_domain_size,goshv,intersection_size,name,native,p_value,parents,precision,query,query_size,recall,significant,source,term_size,source_order,group_id
Response of EIF2AK4 (GCN2) to amino acid deficiency,11056,41495,10,Response of EIF2AK4 (GCN2) to amino acid deficiency,REAC:R-HSA-9633012,4.368072879909969e-06,['REAC:R-HSA-9711097'],0.10989010989010989,query_1,91,0.09803921568627451,True,REAC,102,2171,18
Peptide chain elongation,11056,41116,9,Peptide chain elongation,REAC:R-HSA-156902,2.0985778892135037e-05,['REAC:R-HSA-156842'],0.0989010989010989,query_1,91,0.1,True,REAC,90,1792,14
Viral mRNA Translation,11056,42069,9,Viral mRNA Translation,REAC:R-HSA-192823,2.0985778892135037e-05,['REAC:R-HSA-168273'],0.0989010989010989,query_1,91,0.1,True,REAC,90,2745,16
Selenocysteine synthesis,11056,41609,9,Selenocysteine synthesis,REAC:R-HSA-2408557,3.076949906112117e-05,['REAC:R-HSA-2408522'],0.0989010989010989,query_1,91,0.09574468085106383,True,REAC,94,2285,19
Eukaryotic Translation Elongation,11056,40234,9,Eukaryotic Translation Elongation,REAC:R-HSA-156842,3.076949906112117e-05,['REAC:R-HSA-72766'],0.0989010989010989,query_1,91,0.09574468085106383,True,REAC,94,910,14
Eukaryotic Translation Termination,11056,40236,9,Eukaryotic Translation Termination,REAC:R-HSA-72764,3.076949906112117e-05,['REAC:R-HSA-72766'],0.0989010989010989,query_1,91,0.09574468085106383,True,REAC,94,912,14
Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC),11056,40995,9,Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC),REAC:R-HSA-975956,3.700583231430214e-05,['REAC:R-HSA-927802'],0.0989010989010989,query_1,91,0.09375,True,REAC,96,1671,15
Translation,11056,41987,14,Translation,REAC:R-HSA-72766,4.4813559002066586e-05,['REAC:R-HSA-392499'],0.15384615384615385,query_1,91,0.04794520547945205,True,REAC,292,2663,14
"""Entry of a symbiont into the body, tissues, or cells of a host organism as part of the symbiont life cycle. The host is defined as the larger of the organisms involved in a symbiotic interaction."" [GOC:vw]",20972,20408,9,symbiont entry into host,GO:0044409,6.967749610361636e-05,['GO:0051701'],0.08333333333333333,query_1,108,0.06569343065693431,True,GO:BP,137,10285,1
"Formation of the ternary complex, and subsequently, the 43S complex",11056,40343,7,"Formation of the ternary complex, and subsequently, the 43S complex",REAC:R-HSA-72695,8.875055745829718e-05,['REAC:R-HSA-72737'],0.07692307692307693,query_1,91,0.1346153846153846,True,REAC,52,1019,14
"""A process carried out by gene products in an organism that enable the organism to engage in a symbiotic relationship, a more or less intimate association, with another organism. The various forms of symbiosis include parasitism, in which the association is disadvantageous or destructive to one of the organisms; mutualism, in which the association is advantageous, or often necessary to one or both and not harmful to either; and commensalism, in which one member of the association benefits while the other is not affected. However, mutualism, parasitism, and commensalism are often not discrete categories of interactions and should rather be perceived as a continuum of interaction ranging from parasitism to mutualism. In fact, the direction of a symbiotic interaction can change during the lifetime of the symbionts due to developmental changes as well as changes in the biotic/abiotic environment in which the interaction occurs. Microscopic symbionts are often referred to as endosymbionts."" [GOC:cc, PMID:31257129]",20972,20405,10,biological process involved in symbiotic interaction,GO:0044403,9.769614657239996e-05,['GO:0044419'],0.09259259259259259,query_1,108,0.05263157894736842,True,GO:BP,190,10282,1
SRP-dependent cotranslational protein targeting to membrane,11056,41576,9,SRP-dependent cotranslational protein targeting to membrane,REAC:R-HSA-1799339,0.00015202880527506838,['REAC:R-HSA-72766'],0.0989010989010989,query_1,91,0.07964601769911504,True,REAC,113,2252,14
"""The chemical reactions and pathways resulting in the formation of a protein in the cytoplasm. This is a ribosome-mediated process in which the information in messenger RNA (mRNA) is used to specify the sequence of amino acids in the protein."" [GOC:hjd]",20972,10832,10,cytoplasmic translation,GO:0002181,0.0001582855397410417,['GO:0006412'],0.09259259259259259,query_1,108,0.05,True,GO:BP,200,709,2
Nonsense-Mediated Decay (NMD),11056,40996,9,Nonsense-Mediated Decay (NMD),REAC:R-HSA-927802,0.00019026792952472934,['REAC:R-HSA-8953854'],0.0989010989010989,query_1,91,0.07758620689655173,True,REAC,116,1672,15
Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC),11056,40994,9,Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC),REAC:R-HSA-975957,0.00019026792952472934,['REAC:R-HSA-927802'],0.0989010989010989,query_1,91,0.07758620689655173,True,REAC,116,1670,15
Selenoamino acid metabolism,11056,41608,9,Selenoamino acid metabolism,REAC:R-HSA-2408522,0.00020474516856046752,['REAC:R-HSA-71291'],0.0989010989010989,query_1,91,0.07692307692307693,True,REAC,117,2284,19
Ribosomal scanning and start codon recognition,11056,41514,7,Ribosomal scanning and start codon recognition,REAC:R-HSA-72702,0.00021599720880029137,['REAC:R-HSA-72737'],0.07692307692307693,query_1,91,0.11864406779661017,True,REAC,59,2190,14
Translation initiation complex formation,11056,41988,7,Translation initiation complex formation,REAC:R-HSA-72649,0.00021599720880029137,['REAC:R-HSA-72662'],0.07692307692307693,query_1,91,0.11864406779661017,True,REAC,59,2664,14
"Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S",11056,39435,7,"Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S",REAC:R-HSA-72662,0.00024290105182692205,['REAC:R-HSA-72737'],0.07692307692307693,query_1,91,0.11666666666666667,True,REAC,60,111,14
Cellular response to starvation,11056,39678,10,Cellular response to starvation,REAC:R-HSA-9711097,0.0002653715010837667,['REAC:R-HSA-2262752'],0.10989010989010989,query_1,91,0.06369426751592357,True,REAC,157,354,18
"""The process whose specific outcome is the progression of the epidermis over time, from its formation to the mature structure. The epidermis is the outer epithelial layer of an animal, it may be a single layer that produces an extracellular material (e.g. the cuticle of arthropods) or a complex stratified squamous epithelium, as in the case of many vertebrate species."" [GOC:go_curators, UBERON:0001003]",20972,13175,13,epidermis development,GO:0008544,0.00026979279664268875,['GO:0009888'],0.12037037037037036,query_1,108,0.0325,True,GO:BP,400,3052,3
"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a chemical stimulus."" [GOC:jl]",20972,19523,43,response to chemical,GO:0042221,0.00030796120069895115,['GO:0050896'],0.39814814814814814,query_1,108,0.011131245146259384,True,GO:BP,3863,9400,4
"""An interaction between two organisms living together in more or less intimate association. The term host is used for the larger (macro) of the two members of a symbiosis; the various forms of symbiosis include parasitism, commensalism and mutualism."" [GOC:cc]",20972,23098,9,biological process involved in interaction with host,GO:0051701,0.0005975327827750261,['GO:0044403'],0.08333333333333333,query_1,108,0.05113636363636364,True,GO:BP,176,12975,1
Influenza Viral RNA Transcription and Replication,11056,40560,9,Influenza Viral RNA Transcription and Replication,REAC:R-HSA-168273,0.0006059357366818054,['REAC:R-HSA-168255'],0.0989010989010989,query_1,91,0.06766917293233082,True,REAC,133,1236,16
RHO GTPases Activate Formins,11056,41245,9,RHO GTPases Activate Formins,REAC:R-HSA-5663220,0.0007304274840384573,['REAC:R-HSA-195258'],0.0989010989010989,query_1,91,0.0661764705882353,True,REAC,136,1921,20
"""The process by which a symbiont breaches the plasma membrane or cell envelope and enters the host cell. The process ends when the symbiont or its genome is released into the host cell."" [GOC:jl]",20972,21624,8,symbiont entry into host cell,GO:0046718,0.0007650011911308478,"['GO:0019058', 'GO:0044409']",0.07407407407407407,query_1,108,0.06060606060606061,True,GO:BP,132,11501,1
"""The process in which a relatively unspecialized cell acquires specialized features of an epidermal cell, any of the cells making up the epidermis."" [GOC:dph, GOC:go_curators, GOC:mtg_sensu, GOC:sdb_2009, GOC:tb]",20972,13731,10,epidermal cell differentiation,GO:0009913,0.001441660879200471,"['GO:0008544', 'GO:0030855']",0.09259259259259259,query_1,108,0.03937007874015748,True,GO:BP,254,3608,3
"""Any process evolved to enable an interaction with an organism of a different species."" [GOC:cc]",20972,20411,26,biological process involved in interspecies interaction between organisms,GO:0044419,0.0015373228602150874,['GO:0008150'],0.24074074074074073,query_1,108,0.014631401238041642,True,GO:BP,1777,10288,1
"""The chemical reactions and pathways involving rRNA, ribosomal RNA, a structural constituent of ribosomes."" [ISBN:0198506732]",20972,14979,10,rRNA metabolic process,GO:0016072,0.0018453706691686051,['GO:0016070'],0.09259259259259259,query_1,108,0.038314176245210725,True,GO:BP,261,4856,5
"""Any biological process involved in the maintenance of an internal steady state. Homeostasis allows cells and organisms to maintain stable internal conditions despite varying external conditions."" [PMID:26265027]",20972,19721,25,homeostatic process,GO:0042592,0.0018736273641478212,['GO:0008150'],0.23148148148148148,query_1,108,0.01490757304710793,True,GO:BP,1677,9598,9
Influenza Infection,11056,40559,9,Influenza Infection,REAC:R-HSA-168255,0.002046184935484708,['REAC:R-HSA-9824446'],0.0989010989010989,query_1,91,0.05844155844155844,True,REAC,154,1235,16
"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a chemical stimulus."" [GOC:mah]",20972,25354,29,cellular response to chemical stimulus,GO:0070887,0.0025763027890631993,"['GO:0042221', 'GO:0051716']",0.26851851851851855,query_1,108,0.01318781264211005,True,GO:BP,2199,15231,4
Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal,11056,39473,7,Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal,REAC:R-HSA-141444,0.004452299684786277,['REAC:R-HSA-141424'],0.07692307692307693,query_1,91,0.07608695652173914,True,REAC,92,149,17
Amplification of signal from the kinetochores,11056,39474,7,Amplification of signal from the kinetochores,REAC:R-HSA-141424,0.004452299684786277,['REAC:R-HSA-69618'],0.07692307692307693,query_1,91,0.07608695652173914,True,REAC,92,150,17
"""Control of the spatial distribution of intermediate filaments; includes organizing filaments into meshworks, bundles, or other structures, as by cross-linking."" [GOC:ai]",20972,20644,6,intermediate filament organization,GO:0045109,0.00453110696471741,"['GO:0045104', 'GO:0097435']",0.05555555555555555,query_1,108,0.08,True,GO:BP,75,10521,6
Regulation of expression of SLITs and ROBOs,11056,41439,9,Regulation of expression of SLITs and ROBOs,REAC:R-HSA-9010553,0.004798887931305226,['REAC:R-HSA-376176'],0.0989010989010989,query_1,91,0.05263157894736842,True,REAC,171,2115,21
SARS-CoV-1 modulates host translation machinery,11056,41526,5,SARS-CoV-1 modulates host translation machinery,REAC:R-HSA-9735869,0.005297758874298481,['REAC:R-HSA-9692914'],0.054945054945054944,query_1,91,0.13513513513513514,True,REAC,37,2202,22
Developmental Biology,11056,40088,27,Developmental Biology,REAC:R-HSA-1266738,0.005435769702600264,['REAC:0000000'],0.2967032967032967,query_1,91,0.019368723098995694,True,REAC,1394,764,23
"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a disturbance in organismal or cellular homeostasis, usually, but not necessarily, exogenous (e.g. temperature, humidity, ionizing radiation)."" [GOC:mah]",20972,12574,41,response to stress,GO:0006950,0.0058744729566499445,['GO:0050896'],0.37962962962962965,query_1,108,0.010291164658634538,True,GO:BP,3984,2451,7
Metabolism of RNA,11056,40805,18,Metabolism of RNA,REAC:R-HSA-8953854,0.006872433980822092,['REAC:0000000'],0.1978021978021978,query_1,91,0.02535211267605634,True,REAC,710,1481,15
"""Any process that reduces or removes the toxicity of inorganic compounds. These include transport of such compounds away from sensitive areas and to compartments or complexes whose purpose is sequestration of inorganic compounds."" [GOC:vw]",20972,24645,4,detoxification of inorganic compound,GO:0061687,0.006889920119914104,['GO:0098754'],0.037037037037037035,query_1,108,0.19047619047619047,True,GO:BP,21,14522,10
"""The process in which a relatively unspecialized cell acquires specialized features of a keratinocyte."" [GOC:dph, GOC:mah, GOC:sdb_2009, GOC:tb]",20972,16408,8,keratinocyte differentiation,GO:0030216,0.006985677844963014,"['GO:0009913', 'GO:0043588']",0.07407407407407407,query_1,108,0.04519774011299435,True,GO:BP,177,6285,3
"""A cellular process that results in the biosynthesis of constituent macromolecules, assembly, and arrangement of constituent parts of ribosome subunits; includes transport to the sites of protein synthesis."" [GOC:ma, PMID:26404467, Wikipedia:Ribosome_biogenesis]",20972,19534,10,ribosome biogenesis,GO:0042254,0.010186466508371789,['GO:0022613'],0.09259259259259259,query_1,108,0.03164556962025317,True,GO:BP,316,9411,5
Cellular responses to stimuli,11056,39680,19,Cellular responses to stimuli,REAC:R-HSA-8953897,0.01065965555395065,['REAC:0000000'],0.2087912087912088,query_1,91,0.02357320099255583,True,REAC,806,356,24
"""The process whose specific outcome is the progression of the skin over time, from its formation to the mature structure. The skin is the external membranous integument of an animal. In vertebrates the skin generally consists of two layers, an outer nonsensitive and nonvascular epidermis (cuticle or skarfskin) composed of cells which are constantly growing and multiplying in the deeper, and being thrown off in the superficial layers, as well as an inner vascular dermis (cutis, corium or true skin) composed mostly of connective tissue."" [GOC:jl, UBERON:0002097]",20972,20235,10,skin development,GO:0043588,0.013033671912830813,['GO:0048513'],0.09259259259259259,query_1,108,0.03076923076923077,True,GO:BP,325,10112,3
Mitotic Spindle Checkpoint,11056,40875,7,Mitotic Spindle Checkpoint,REAC:R-HSA-69618,0.013523797162083266,['REAC:R-HSA-69620'],0.07692307692307693,query_1,91,0.06422018348623854,True,REAC,109,1551,17
"""Any process that increases the frequency, rate or extent of gene expression. Gene expression is the process in which a gene's coding sequence is converted into a mature gene product (protein or RNA)."" [GOC:txnOH-2018]",20972,14210,19,positive regulation of gene expression,GO:0010628,0.016734169782819924,"['GO:0010467', 'GO:0010468', 'GO:0010557']",0.17592592592592593,query_1,108,0.016047297297297296,True,GO:BP,1184,4087,11
EML4 and NUDC in mitotic spindle formation,11056,40180,7,EML4 and NUDC in mitotic spindle formation,REAC:R-HSA-9648025,0.019107815115713918,['REAC:R-HSA-68877'],0.07692307692307693,query_1,91,0.06086956521739131,True,REAC,115,856,25
"""A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of cytoskeletal structures comprising intermediate filaments and their associated proteins."" [GOC:ai]",20972,20639,6,intermediate filament cytoskeleton organization,GO:0045104,0.019114859977944914,"['GO:0007010', 'GO:0045103']",0.05555555555555555,query_1,108,0.0625,True,GO:BP,96,10516,6
"""A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of an organelle within a cell. An organelle is an organized structure of distinctive morphology and function. Includes the nucleus, mitochondria, plastids, vacuoles, vesicles, ribosomes and the cytoskeleton. Excludes the plasma membrane."" [GOC:mah]",20972,12601,37,organelle organization,GO:0006996,0.020078988800023255,['GO:0016043'],0.3425925925925926,query_1,108,0.010355443604813882,True,GO:BP,3573,2478,12
"""Any cellular process that depends upon or alters the intermediate filament cytoskeleton, that part of the cytoskeleton comprising intermediate filaments and their associated proteins."" [GOC:ai]",20972,20638,6,intermediate filament-based process,GO:0045103,0.020290592996804416,['GO:0009987'],0.05555555555555555,query_1,108,0.061855670103092786,True,GO:BP,97,10515,6
"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a lipid stimulus."" [GOC:sl]",20972,17934,16,response to lipid,GO:0033993,0.020411654704463697,['GO:0042221'],0.14814814814814814,query_1,108,0.01818181818181818,True,GO:BP,880,7811,4
"""Any process in which an organism modulates the frequency, rate or extent to which it enters into the host organism, where the two organisms are in a symbiotic interaction."" [GOC:mtg_pamgo_17jul06]",20972,23291,4,modulation by symbiont of entry into host,GO:0052372,0.022925463356143684,"['GO:0043903', 'GO:0044409']",0.037037037037037035,query_1,108,0.14285714285714285,True,GO:BP,28,13168,1
RHO GTPase Effectors,11056,41243,11,RHO GTPase Effectors,REAC:R-HSA-195258,0.02522775680179724,['REAC:R-HSA-194315'],0.12087912087912088,query_1,91,0.03459119496855346,True,REAC,318,1919,20
SARS-CoV-2 modulates host translation machinery,11056,41535,5,SARS-CoV-2 modulates host translation machinery,REAC:R-HSA-9754678,0.026074714053651336,['REAC:R-HSA-9705683'],0.054945054945054944,query_1,91,0.09803921568627451,True,REAC,51,2211,26
"""A process which begins when a cell receives an internal or external signal and activates a series of biochemical events (signaling pathway). The process ends with the death of the cell."" [GOC:lr, GOC:mtg_apoptosis]",20972,14479,25,programmed cell death,GO:0012501,0.029257211931311224,['GO:0008219'],0.23148148148148148,query_1,108,0.012768130745658836,True,GO:BP,1958,4356,8
"""The process whose specific outcome is the progression of an epithelium over time, from its formation to the mature structure. An epithelium is a tissue that covers the internal or external surfaces of an anatomical structure."" [GOC:dph, GOC:mtg_lung]",20972,23755,19,epithelium development,GO:0060429,0.02993824270436081,['GO:0009888'],0.17592592592592593,query_1,108,0.01539708265802269,True,GO:BP,1234,13632,13
"""Any biological process that results in permanent cessation of all vital functions of a cell. A cell should be considered dead when any one of the following molecular or morphological criteria is met: (1) the cell has lost the integrity of its plasma membrane; (2) the cell, including its nucleus, has undergone complete fragmentation into discrete bodies (frequently referred to as apoptotic bodies). The cell corpse (or its fragments) may be engulfed by an adjacent cell in vivo, but engulfment of whole cells should not be considered a strict criteria to define cell death as, under some circumstances, live engulfed cells can be released from phagosomes (see PMID:18045538)."" [GOC:mah, GOC:mtg_apoptosis, PMID:25236395]",20972,13129,25,cell death,GO:0008219,0.03029546296600956,['GO:0009987'],0.23148148148148148,query_1,108,0.0127420998980632,True,GO:BP,1962,3006,8
Resolution of Sister Chromatid Cohesion,11056,41487,7,Resolution of Sister Chromatid Cohesion,REAC:R-HSA-2500257,0.030921947871607177,['REAC:R-HSA-68877'],0.07692307692307693,query_1,91,0.056451612903225805,True,REAC,124,2163,27
Signaling by ROBO receptors,11056,41722,9,Signaling by ROBO receptors,REAC:R-HSA-376176,0.031494994220771635,['REAC:R-HSA-422475'],0.0989010989010989,query_1,91,0.041474654377880185,True,REAC,217,2398,21
"""A set of processes which all viruses follow to ensure survival; includes attachment and entry of the virus particle, decoding of genome information, translation of viral mRNA by host ribosomes, genome replication, and assembly and release of viral particles containing the genome."" [ISBN:1555811272]",20972,15357,9,viral life cycle,GO:0019058,0.03576721774783279,['GO:0016032'],0.08333333333333333,query_1,108,0.03103448275862069,True,GO:BP,290,5234,1
"""Any process involved in the conversion of a primary ribosomal RNA (rRNA) transcript into one or more mature rRNA molecules."" [GOC:curators]",20972,12155,8,rRNA processing,GO:0006364,0.03653690379467197,"['GO:0006396', 'GO:0016072', 'GO:0042254']",0.07407407407407407,query_1,108,0.036036036036036036,True,GO:BP,222,2032,5
"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus indicating the organism is under stress. The stress is usually, but not necessarily, exogenous (e.g. temperature, humidity, ionizing radiation)."" [GOC:mah]",20972,17852,24,cellular response to stress,GO:0033554,0.03660615699017053,"['GO:0006950', 'GO:0051716']",0.2222222222222222,query_1,108,0.01293103448275862,True,GO:BP,1856,7729,7
"""Any process that modulates the frequency, rate or extent of the chemical reactions and pathways resulting in the formation of proteins by the translation of mRNA or circRNA."" [GOC:isa_complete]",20972,12189,10,regulation of translation,GO:0006417,0.03733615350192775,"['GO:0006412', 'GO:0010608', 'GO:0051246']",0.09259259259259259,query_1,108,0.027247956403269755,True,GO:BP,367,2066,2
Metallothioneins bind metals,11056,40832,3,Metallothioneins bind metals,REAC:R-HSA-5661231,0.03754817958740672,['REAC:R-HSA-5660526'],0.03296703296703297,query_1,91,0.2727272727272727,True,REAC,11,1508,28
Infectious disease,11056,40557,21,Infectious disease,REAC:R-HSA-5663205,0.049368504368575504,['REAC:R-HSA-1643685'],0.23076923076923078,query_1,91,0.01977401129943503,True,REAC,1062,1233,29
